               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091449,            0.051535,            0.029363,             0.12042,             0.37594,            0.097152,            0.027975,             0.05603,            0.046746,            0.026771,           0.0033143,           0.0033143,            0.070171
                   1,            0.064325,             0.05028,            0.026234,             0.16722,             0.32603,             0.15391,            0.051072,            0.059059,             0.03276,            0.024986,           0.0066345,           0.0066345,            0.040158
                   2,            0.062103,            0.043358,            0.025626,             0.26463,             0.48648,              0.2526,            0.086529,            0.045692,            0.032805,            0.024955,           0.0099414,           0.0099414,            0.010132
                   3,            0.054901,            0.041132,             0.02494,             0.31737,             0.53651,             0.32397,             0.17432,            0.040974,            0.030269,            0.025009,           0.0099406,           0.0099406,           0.0099406
                   4,            0.042299,            0.040398,            0.024453,             0.38652,             0.61272,             0.41983,              0.2253,            0.033296,            0.031065,            0.024704,           0.0099406,           0.0099406,           0.0099406
                   5,            0.039872,            0.037847,            0.022497,             0.48322,             0.54701,             0.48517,              0.2358,            0.035705,            0.031097,            0.023183,           0.0099208,           0.0099208,           0.0099208
                   6,            0.039531,            0.035541,            0.019665,             0.53937,             0.56599,             0.53974,             0.27343,            0.034883,            0.031027,            0.021064,            0.009901,            0.009901,            0.009901
                   7,            0.035928,            0.035343,            0.016771,             0.55538,             0.58504,               0.564,              0.3129,            0.031684,            0.031042,            0.019637,           0.0098812,           0.0098812,           0.0098812
                   8,            0.035783,            0.034855,            0.013672,             0.59559,             0.52533,             0.56932,             0.33445,            0.031265,            0.030971,            0.019724,           0.0098614,           0.0098614,           0.0098614
                   9,            0.033389,            0.034918,             0.01253,             0.58102,              0.5928,             0.59365,             0.33322,            0.031426,            0.031344,            0.022288,           0.0098416,           0.0098416,           0.0098416
                  10,            0.031537,            0.033183,            0.011801,             0.56004,               0.559,             0.58289,             0.33872,            0.031964,            0.031295,            0.019864,           0.0098218,           0.0098218,           0.0098218
                  11,            0.034146,            0.032732,            0.011663,             0.54019,              0.5903,              0.5716,              0.3061,            0.033895,              0.0308,            0.020752,            0.009802,            0.009802,            0.009802
                  12,            0.031372,            0.033066,            0.010758,             0.55286,              0.5481,             0.56681,             0.33937,            0.028473,            0.034511,            0.019653,           0.0097822,           0.0097822,           0.0097822
                  13,            0.030728,            0.032398,             0.01018,             0.55892,             0.58048,             0.57256,             0.34871,            0.028232,            0.032243,            0.022117,           0.0097624,           0.0097624,           0.0097624
                  14,            0.031907,            0.032913,           0.0093154,              0.6207,             0.52118,             0.55833,             0.32827,             0.02946,            0.034938,            0.022592,           0.0097426,           0.0097426,           0.0097426
                  15,            0.030809,             0.03105,           0.0090246,             0.56503,             0.52562,             0.55184,             0.33915,            0.028986,            0.034445,            0.021661,           0.0097228,           0.0097228,           0.0097228
                  16,            0.029235,            0.031372,           0.0085792,             0.63832,              0.5367,             0.58718,             0.34782,            0.028857,            0.031864,            0.024185,            0.009703,            0.009703,            0.009703
                  17,            0.029379,             0.03024,           0.0093818,             0.60124,             0.56242,             0.57807,             0.34018,            0.030274,             0.03292,            0.023283,           0.0096832,           0.0096832,           0.0096832
                  18,            0.029254,            0.031015,           0.0086851,              0.5898,             0.58481,             0.58448,             0.36638,            0.028379,            0.035674,            0.019904,           0.0096634,           0.0096634,           0.0096634
                  19,            0.029181,            0.030549,           0.0081404,             0.59841,             0.54046,             0.55547,             0.31404,            0.031822,            0.036821,            0.020626,           0.0096436,           0.0096436,           0.0096436
                  20,            0.029028,             0.03015,           0.0077497,             0.54199,             0.62277,             0.57516,              0.3485,              0.0283,            0.032491,            0.019541,           0.0096238,           0.0096238,           0.0096238
